vinho_id,rotulo,ano_colheita,tipo
0,teal-barolo,1913,rosé
1,forward-claret,1964,tinto
2,foggy-chardonnay,1923,branco
3,null-bardolino,2001,tinto
4,watery-sauvignon,1944,rosé
5,bipartite-zinfandel,1955,tinto
6,adventurous-arneis,1995,branco
7,international-barbaresco,1913,rosé
8,flat-chardonnay,1933,branco
9,soft-amarone,1929,rosé
10,pointed-chablis,1941,rosé
11,direct-sauvignon,1941,tinto
12,several-chardonnay,1928,tinto
13,excited-zinfandel,1916,branco
14,tempered-albariño,1912,tinto
15,rectilinear-muscat,1992,tinto
16,volumetric-claret,2013,rosé
17,quadratic-champagne,1994,tinto
18,resolving-bardolino,1963,rosé
19,commutative-mead,2014,rosé
20,constant-malbec,1928,rosé
21,burning-chinon,1986,branco
22,cold-pinot,1978,branco
23,equilateral-barolo,2014,branco
24,piercing-barbaresco,1952,rosé
25,blocky-dolcetto,1956,branco
26,pink-marsanne,1995,branco
27,beige-chablis,1983,tinto
28,wary-arneis,1940,branco
29,concrete-chardonnay,1958,branco
30,moderato-barbaresco,1994,rosé
31,wide-bardolino,1927,rosé
32,roaring-claret,1967,rosé
33,funny-marsanne,1925,rosé
34,relaxed-marsanne,1957,rosé
35,matte-champagne,1974,rosé
36,oily-claret,1924,branco
37,chewy-banylus,1956,rosé
38,ebony-burgundy,1936,rosé
39,diagonal-chianti,2001,tinto
40,shortest-pinot,1954,branco
41,quiet-claret,1954,branco
42,tomato-sherry,1969,branco
43,giant-lambrusco,1954,rosé
44,kind-chardonnay,1965,rosé
45,lead-lambrusco,1961,rosé
46,descriptive-claret,1952,tinto
47,sunny-champagne,2013,rosé
48,straight-lambrusco,1915,tinto
49,vintage-prosecco,1965,branco
50,nippy-pinot,2009,rosé
51,online-chinon,1995,tinto
52,null-chianti,1943,tinto
53,pointed-sauvignon,1977,rosé
54,chamfered-zinfandel,1998,branco
55,bold-zinfandel,2012,branco
56,sizzling-marsanne,1927,branco
57,giant-beaujolais,1956,tinto
58,stubborn-prosecco,2002,tinto
59,brute-force-auslese,2007,tinto
60,extended-blanc,1926,tinto
61,orange-burgundy,1963,branco
62,woolen-muscat,2014,rosé
63,chocolate-banylus,1932,tinto
64,blistering-mead,1924,tinto
65,chocolate-pinot,1956,branco
66,concave-chinon,1945,rosé
67,boxy-albariño,1972,rosé
68,woolen-barolo,2008,branco
69,chalky-sauvignon,1969,branco
70,inflammable-madeira,1981,rosé
71,extremal-dolcetto,1938,tinto
72,careful-burgundy,1935,rosé
73,funny-albariño,1980,branco
74,chamfered-rosé,1966,tinto
75,uniform-rosé,1912,tinto
76,dynamic-grappa,2012,branco
77,teal-rosé,2014,branco
78,ebony-chablis,2010,branco
79,planar-marsanne,1962,rosé
80,reduced-sauvignon,1910,rosé
81,congruent-albariño,2012,tinto
82,coal-lambrusco,1962,branco
83,proper-amarone,1923,tinto
84,extremal-marsanne,1953,tinto
85,critical-chianti,1998,tinto
86,livid-chianti,1926,tinto
87,straight-barbaresco,1972,branco
88,best-prosecco,1982,tinto
89,upbeat-sauvignon,1942,branco
90,inverted-beaujolais,1954,branco
91,brass-port,1916,rosé
92,similar-burgundy,2002,branco
93,flashed-riesling,1921,rosé
94,denim-muscat,1968,branco
